"","round","female","migrant","age","education","polint","prof_training","employment","east","party_pref","internal_effic_ind","external_effic_ind","risk_aversion_ind","csp","active_sport","active_music","active_union","active_environment","active_social","active_religion","active_political","active_other","treatment","wtr_cand","wtr_engage","information","perception_risk_1","perception_risk_2","perception_envir_ind","wtr_ind_full","wtr_ind_reduc","wtr_ind_friend","wtr_work_bt","traits_1","traits_2","traits_3","traits_4","traits_5","traits_6","traits_7","third_round"
"2264",3,0,0,40,3,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,2,NA,NA,1,3.25,2.25,1.5,3,3,NA,NA,NA,NA,NA,NA,NA,1
"2265",3,1,0,44,1,4,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,NA,NA,2,3,1.25,1.5,1,3,NA,NA,NA,NA,NA,NA,NA,1
"2266",3,0,1,66,3,6,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,4,NA,NA,2,3.75,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1
"2267",3,1,0,43,1,7,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2268",3,1,NA,50,1,1,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,1,2.75,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2269",3,1,0,58,3,7,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,4,5,NA,NA,4,3.25,3.75,4.5,3,4,NA,NA,NA,NA,NA,NA,NA,1
"2270",3,0,0,69,1,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,1,2.5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2271",3,0,0,73,3,6,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,2,NA,NA,1,3,2.75,1.5,4,4,NA,NA,NA,NA,NA,NA,NA,1
"2272",3,1,0,72,1,7,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,NA,NA,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2273",3,1,0,66,3,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,3,NA,NA,1,3.25,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,1
