day;place;suspects;background;law;crime;party_1;party_2;party_3;party_4;party_5;;
15.08.2019;Karlsruhe;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;AfD;;;;;;
15.08.2019;Isen;0;Rechts;STGB-185;Beleidigung;Bundnis 90/Die Grunen;;;;;;
15.08.2019;Flensburg;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
15.08.2019;Zittau;0;Rechts;STGB-303;Sachbeschadigung;CDU;;;;;;
15.08.2019;Markkleeberg;0;Rechts;STGB-241;Bedrohung;SPD;;;;;;
15.08.2019;Meerane;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
15.08.2019;Bautzen;1;Links;STGB-185;Beleidigung;AfD;;;;;;
;;;;;Gefahrliche;;;;;;;
16.08.2019;Hamburg;1;Links;STGB-224;Kdrperverletzung;Sonstige;;;;;;
16.08.2019;Leipzig;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
