Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
23;18.08.2020;Wassenberg;0;Rechts;STGB-242;Diebstahl;Sonstige Partei
24;03.09.2020;Eschweiler;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;FDP, Sonstige Partei, CDU
25;11.09.2020;Würselen;0;Nicht zuzuordnen;STGB-186;Üble Nachrede;CDU
24;06.07.2020;Berlin;0;Ausländische Ideologie;STGB-185;Beleidigung;AfD
25;10.07.2020;Berlin;0;Links;STGB-111;Öffentliche Aufforderung zu Straftaten;AfD
26;21.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;CSU
27;29.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;AfD
28;06.07.2020;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;CDU
29;18.07.2020;Berlin;1;Rechts;STGB-185;Beleidigung;CDU, Bündnis 90/Die Grünen
30;12.07.2020;Berlin;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;DIE LINKE.
31;29.07.2020;Berlin;1;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
37;04.07.2020;Espelkamp;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
38;12.07.2020;Espelkamp;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
39;12.07.2020;Espelkamp;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
40;06.07.2020;Espelkamp;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
41;12.07.2020;Espelkamp;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
42;01.08.2020;Bad Lippspringe;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;Bündnis 90/Die Grünen
43;28.07.2020;Rheda-Wiedenbrück;0;Nicht zuzuordnen;STGB-242;Diebstahl;CDU
44;12.07.2020;Blomberg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
45;10.08.2020;Bielefeld;0;Nicht zuzuordnen;STGB-188;Üble Nachrede und Verleumdung gg. Personen des öffentlichen Lebens;FDP
46;04.08.2020;Löhne;0;Nicht zuzuordnen;STGB-242;Diebstahl;DIE LINKE.
47;06.08.2020;Paderborn;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
48;07.08.2020;Versmold;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
49;06.08.2020;Paderborn;0;Links;STGB-303;Sachbeschädigung;AfD
50;09.08.2020;Löhne;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
51;09.08.2020;Bünde;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
52;11.08.2020;Hiddenhausen;0;Links;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
53;08.08.2020;Harsewinkel;1;Rechts;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
54;13.08.2020;Höxter;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
55;13.08.2020;Bielefeld;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
56;06.08.2020;Minden;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
57;04.08.2020;Hüllhorst;0;Nicht zuzuordnen;STGB-185;Beleidigung;SPD
58;09.08.2020;Bielefeld;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
59;08.08.2020;Detmold;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
60;24.08.2020;Paderborn;1;Links;STGB-107;Wahlbehinderung;AfD
61;11.08.2020;Paderborn;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
62;10.08.2020;Paderborn;1;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
