Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;;insgesamt;männlich;weiblich;je km2;plz;Längengrad;Breitengrad;key_travel;Reisegebiete;Schlüssel;Grad der Verstädterung
50;50;1;0;53;129;;Wentorf bei Hamburg;;;;;;;;;;;;
60;64;1;0;53;129;129;Wentorf bei Hamburg;6,87; 12 663; 6 096; 6 567; 1 843;21465;10,2519;53,491012;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;53;5308;;Berkenthin;;;;;;;;;;;;
60;64;1;0;53;5308;8;Behlendorf;10,26;395;197;198;38;23919;10,667846;53,699475;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;9;Berkenthin;10,25; 2 078; 1 023; 1 055;203;23919;10,638297;53,734569;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;11;Bliestorf;10,35;630;309;321;61;23847;10,602527;53,768797;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;24;Düchelsdorf;3,01;155;78;77;51;23847;10,580373;53,737072;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;34;Göldenitz;5,15;231;118;113;45;23919;10,631501;53,722025;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;61;Kastorf;6,9; 1 136;579;557;165;23847;10,570134;53,748875;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;67;Klempau;10,07;620;322;298;62;23628;10,660387;53,762851;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;75;Krummesse;3,35; 1 751;820;931;523;23628;10,641961;53,780123;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;94;Niendorf bei Berkenthin;3,99;191;90;101;48;23919;10,626158;53,702417;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;103;Rondeshagen;9,51;824;407;417;87;23919;10,629717;53,753642;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;120;Sierksrade;4;381;201;180;95;23847;10,600344;53,736555;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;53;5313;;Breitenfelde;;;;;;;;;;;;
60;64;1;0;53;5313;2;Alt Mölln;6,44;910;443;467;141;23881;10,658165;53,622775;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;53;5313;5;Bälau;6,5;215;103;112;33;23881;10,621739;53,616381;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;13;Borstorf;8,65;301;147;154;35;23881;10,564234;53,613074;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;14;Breitenfelde;12,54; 1 937;971;966;154;23881;10,632977;53,605112;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;53;5313;37;Grambek;12,66;452;217;235;36;23883;10,68068;53,574025;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;56;Hornbek;5,89;195;95;100;33;21514;10,648548;53,5589;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;84;Lehmrade;11,4;489;245;244;43;23883;10,752721;53,5947;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;95;Niendorf/ Stecknitz;8,41;652;314;338;78;23881;10,609244;53,587228;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;113;Schretstaken;8,47;510;268;242;60;21493;10,539293;53,586533;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;125;Talkau;4,88;522;260;262;107;21493;10,568741;53,576852;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5313;134;Woltersdorf;7,9;289;148;141;37;21516;10,640176;53,576862;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;53;5318;;Büchen;;;;;;;;;;;;
60;64;1;0;53;5318;10;Besenthal;12,65;84;47;37;7;23899;10,743239;53,530139;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;15;Bröthen;10,69;297;157;140;28;21514;10,667504;53,480409;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;20;Büchen;16,85; 5 808; 2 856; 2 952;345;21514;10,616482;53,480926;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;29;Fitzen;9,11;348;183;165;38;21514;10,64667;53,493942;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;35;Göttin;5,21;61;30;31;12;21514;10,70343;53,533746;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;46;Gudow;42,26; 1 579;792;787;37;23899;10,77219;53,555336;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;48;Güster;7,78; 1 279;648;631;164;21514;10,680583;53,53952;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;64;Klein Pampau;4,17;631;323;308;151;21514;10,586656;53,512681;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;80;Langenlehsten;23,37;160;76;84;7;21514;10,740373;53,499816;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;92;Müssen;11,46; 1 119;558;561;98;21516;10,562042;53,494949;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5318;104;Roseburg;16,23;523;262;261;32;21514;10,625016;53,531303;F04;übrig. Schleswig-Holstein;3;gering besiedelt
