Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;plz;Längengrad;Breitengrad;reiseziel;Besiedlungsgrad
60;64;01;0;53;5358;054;Hollenbek;23883;10,819794;53,592298;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;057;Horst;23883;10,77065;53,638591;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;062;Kittlitz;23911;10,918244;53,664141;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;066;Klein Zecher;23883;10,872803;53,577413;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;078;Kulpin;23911;10,695812;53,71009;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;088;Mechow;23909;10,801815;53,717556;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;093;Mustin;23911;10,886235;53,68453;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;098;Pogeez;23911;10,729435;53,750929;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;102;Römnitz;23909;10,768957;53,710121;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;107;Salem;22958;10,827965;53,656405;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;110;Schmilau;21493;10,75597;53,664589;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;117;Seedorf;23883;10,866858;53,619223;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;123;Sterley;23896;10,817631;53,620115;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5358;136;Ziethen;21521;10,809322;53,693695;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;51;01;0;53;5373;;Schwarzenbek-Land;;;;;
60;64;01;0;53;5373;007;Basthorst;21493;10,47139;53,576616;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5373;017;Brunstorf;21524;10,425938;53,491554;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5373;021;Dahmker;22946;10,444516;53,587821;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5373;027;Elmenhorst;21493;10,537551;53,544876;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5373;031;Fuhlenhagen;21493;10,5266;53,572959;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5373;036;Grabau;21493;10,519825;53,513609;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;53;5373;042;Groß Pampau;21493;10,560301;53,521808;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5373;045;Grove;21493;10,492067;53,528123;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;53;5373;047;Gülzow;21039;10,490939;53,442249;übrig. Schleswig-Holstein;gering besiedelt
