,plz,year,pop,female,density,degree_urban,size,share_fem
181,74831.0,2014,7148.0,3594.0,186,mittlere Besiedlungsdichte,"38,44",0.5027979854504756
182,74211.0,2014,11092.0,5591.0,472,mittlere Besiedlungsdichte,"23,48",0.5040569780021638
183,74861.0,2014,5079.0,2545.0,154,gering besiedelt,"32,92",0.5010828903327427
184,71543.0,2014,6665.0,3465.0,222,gering besiedelt,"30,02",0.5198799699924981
185,74177.0,2014,18592.0,9252.0,753,mittlere Besiedlungsdichte,"24,7",0.49763339070567986
186,74229.0,2014,6185.0,3108.0,291,mittlere Besiedlungsdichte,"21,24",0.5025060630557802
187,74254.0,2014,2685.0,1371.0,475,mittlere Besiedlungsdichte,"5,65",0.5106145251396648
188,74906.0,2014,20268.0,10354.0,276,gering besiedelt,"73,55",0.5108545490428261
189,74912.0,2014,5634.0,2756.0,262,mittlere Besiedlungsdichte,"21,5",0.4891728789492368
190,74936.0,2014,1627.0,804.0,212,gering besiedelt,"7,68",0.4941610325752919
191,74336.0,2014,15220.0,7659.0,333,mittlere Besiedlungsdichte,"45,75",0.5032194480946124
192,74389.0,2014,2818.0,1377.0,165,gering besiedelt,"17,09",0.4886444286728176
193,75031.0,2014,21094.0,10598.0,238,gering besiedelt,"88,59",0.5024177491229733
194,75050.0,2014,4990.0,2508.0,262,gering besiedelt,"19,08",0.5026052104208417
195,74930.0,2014,2433.0,1200.0,172,gering besiedelt,"14,11",0.4932182490752158
196,74223.0,2014,6811.0,3561.0,804,mittlere Besiedlungsdichte,"8,47",0.5228307150198209
197,74388.0,2014,4917.0,2437.0,423,mittlere Besiedlungsdichte,"11,62",0.49562741509050234
198,74348.0,2014,10931.0,5592.0,483,mittlere Besiedlungsdichte,"22,63",0.5115725917116458
199,74382.0,2014,3590.0,1784.0,257,gering besiedelt,"13,97",0.4969359331476323
200,74226.0,2014,7898.0,3972.0,621,mittlere Besiedlungsdichte,"12,71",0.5029121296530767
201,74249.0,2014,1762.0,885.0,100,gering besiedelt,"17,67",0.5022701475595914
202,74219.0,2014,7817.0,3875.0,158,mittlere Besiedlungsdichte,"49,6",0.4957144684661635
203,74255.0,2014,1391.0,662.0,99,gering besiedelt,"14,01",0.47591660675772823
204,74259.0,2014,1827.0,891.0,72,gering besiedelt,"25,23",0.4876847290640394
205,74235.0,2014,4926.0,2472.0,387,mittlere Besiedlungsdichte,"12,73",0.5018270401948843
206,74172.0,2014,25798.0,13071.0, 1 034,mittlere Besiedlungsdichte,"24,94",0.5066671835025971
207,74257.0,2014,4129.0,2070.0, 1 125,mittlere Besiedlungsdichte,"3,67",0.5013320416565754
208,74196.0,2014,9546.0,4756.0,232,mittlere Besiedlungsdichte,"41,19",0.49821914938194006
209,74239.0,2014,3975.0,1876.0,112,gering besiedelt,"35,55",0.4719496855345912
210,74243.0,2014,3713.0,1794.0,155,gering besiedelt,"23,97",0.48316725020199297
211,74363.0,2014,6089.0,3003.0,374,mittlere Besiedlungsdichte,"16,27",0.4931844309410412
212,74397.0,2014,2310.0,1147.0,192,mittlere Besiedlungsdichte,"12,04",0.49653679653679655
213,74374.0,2014,3903.0,1981.0,176,gering besiedelt,"22,18",0.5075582884960287
214,74245.0,2014,3166.0,1576.0,135,gering besiedelt,"23,46",0.4977890082122552
215,74182.0,2014,13478.0,6755.0,434,mittlere Besiedlungsdichte,"31,07",0.5011871197507048
216,74232.0,2014,4588.0,2282.0,475,mittlere Besiedlungsdichte,"9,66",0.497384481255449
217,71717.0,2014,6161.0,3088.0,244,mittlere Besiedlungsdichte,"25,25",0.5012173348482389
218,74360.0,2014,9056.0,4495.0,342,gering besiedelt,"26,51",0.4963560070671378
219,74199.0,2014,8122.0,4099.0,298,mittlere Besiedlungsdichte,"27,27",0.5046786505786752
220,74252.0,2014,3379.0,1668.0,385,mittlere Besiedlungsdichte,"8,78",0.49363717076058006
221,74193.0,2014,11062.0,5530.0,224,mittlere Besiedlungsdichte,"49,48",0.4999096004339179
222,74246.0,2014,3148.0,1597.0,252,gering besiedelt,"12,5",0.5073062261753494
223,74248.0,2014,3483.0,1738.0,594,mittlere Besiedlungsdichte,"5,86",0.49899511915015793
224,74251.0,2014,2281.0,1114.0,367,mittlere Besiedlungsdichte,"6,22",0.48838228846996934
225,74189.0,2014,11615.0,5902.0,523,mittlere Besiedlungsdichte,"22,22",0.5081360309944037
226,74626.0,2014,12307.0,6129.0,190,mittlere Besiedlungsdichte,"64,7",0.4980092630210449
227,74214.0,2014,5541.0,2734.0,68,gering besiedelt,"81,65",0.49341274138242197
228,74635.0,2014,5852.0,2877.0,108,gering besiedelt,"54,29",0.4916267942583732
